OTUID,Feature.ID,Kingdom,Phylum,Class,Order,Family,Genus,confidence
7a82038a2a87643382fdc201dacb1009,X20,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides,0.988270845
97855d38c5ce75bc28db3201640ab0b2,X21,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__,0.855980078
88b905e812e0d73b7a740796f1969218,X22,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999983
4c7ad9177b8f808b98713da6557b7bf1,X23,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999716
4a9c16d3ce654f02a454cdea74b597bb,X24,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999853
be43da52e9710f5f0179d39616a0cd02,X25,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999947
b9c08a80084a5817a32ad811704367c4,X26,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999471848
af445601ff19932662af5c837b079065,X27,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999997296
e5180ec90317980d3120ca519bda5e5e,X28,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.998824559
9262057290033adeed0ee63ad7d0870c,X29,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.99999535
5316280028c25084443f731768aa5707,X30,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides,0.983952226
030b340f702523604f24be192ae18439,X31,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999997551
ae6f858a33e49815fcd83690ada389c8,X32,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999943
dd9638b9f5a15e2a9d6394ad04444d21,X33,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999969
e3e20348b3527232a0c237f9d7811f3c,X34,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__,0.867124614
6822dc1497ea5724bc61e02b3cf0511f,X35,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999769
2e644a61d0aedb0afba39a04177de7f4,X36,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999803
0cc8dadc34650e1d79815b5f3fab5efe,X37,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999456
35782ee448589c93a59ce4719dafc0f2,X38,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.998580577
36c7395784ef4aee8b64edeb937ba621,X39,k__Bacteria, p__Deferribacteres, c__Deferribacteres, o__Deferribacterales, f__Deferribacteraceae, g__Mucispirillum,0.999999992
564bb4db498125e08f141d6e48c9dcc7,X40,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides,0.960994246
66bbba590630ffe63f0c083472189619,X41,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999883
9fb556645444d1f9d5c124e5c343ee7b,X42,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999738
0c7ce3bfe1a4347ffec132b70d3833a9,X43,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999781
d4a552739e270b6188e83103b91ef909,X44,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides,0.969643747
562438981c3292e786f329b2c84e4cb7,X45,k__Bacteria, p__Deferribacteres, c__Deferribacteres, o__Deferribacterales, f__Deferribacteraceae, g__Mucispirillum,0.999999995
6fee28a58b63200768d9fdbfaa9ebea1,X46,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999176417
577c52c4a197b72ab9b700df942d53f8,X47,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999492
e19798f8cfd40879dd24a317312bde7b,X48,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella,0.9999762
e5e4068cb7d7c0101908b81c1106084c,X49,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999941
40b98f89d88946c7fef1c79ce1ed80f8,X50,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9987811
0b2a2fd1108f186dc940c382e50a4846,X51,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999995898
932dcd7db9a5a0a103ad457d0b156708,X52,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999741
fc340939384b5acd146d49441178af0e,X53,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999959
b2c1c518a311037462a93c63f9dfdf95,X54,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus,0.879596202
f0238022104202ef0f46df5eee21eaf6,X55,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999879
